Domain,Num_words,Num_chars,Hyphen,Entropy_sdsu,Entropy_nosdsu,Entropy_nosu,Tranco_Rank,Longest_word_ratio,Typos,Freenom_TLD,Other_numbers,Subdomain levels,Label
covid.brejodeareia.ma.gov.br,11,26,0,3.459147917,2.855388542,3.219528282,0,0.142857143,0,0,0,1,1
cpcontacts.covid.satubinha.ma.gov.br,10,34,0,3.808719697,2.947702779,3.522055209,0,0.222222222,0,0,0,2,1
www.espacovidaterapias.com.br,9,27,0,3.671405583,3.281036113,3.403989446,0,0.137931034,0,0,0,1,1
www.covid19.gov.bs,6,16,0,3.323231429,2.807354922,2.846439345,0,0.222222222,0,0,0,1,1
covid.gov.kg,4,11,0,2.721928095,2.321928095,2.321928095,0,0.333333333,0,0,0,0,1
covid19.perfilsst.com.br,8,22,0,3.916126947,2.947702779,3.75,0,0.166666667,0,0,0,1,1
covid.uco.uwb.edu.pl,8,18,0,3.327819531,1.584962501,2.913977073,1,0.2,0,0,0,2,1
www.testecovid19.recife.pe.gov.br,9,31,0,3.794336066,2.251629167,3.499227542,1,0.181818182,0,0,0,2,1
covid19.dpu.edu.tr,7,16,0,3.456564762,1.584962501,3.121928095,1,0.222222222,0,0,0,1,1
www.coronavirus.sc.gov.br,5,23,0,3.427333494,3.095795255,3.182005815,0,0.44,0,0,0,1,1
www.teste.tamborilcontraocoronavirus.com.br,9,41,0,3.711451501,3.455650181,3.70159768,0,0.255813953,0,0,0,2,1
api.stage.key-worker-coronavirus-home-testing.service.gov.uk,10,58,1,4.024174206,2.521640636,3.988438191,1,0.183333333,0,0,0,3,1
www.covidwar.karnataka.gov.in,7,27,0,3.379470571,2.05881389,3.141446071,1,0.310344828,0,0,0,2,1
ftp.valecovid19desafio.com.br,10,27,0,3.979097891,3.503258335,3.725650756,0,0.137931034,0,0,0,1,1
covid19.alparslan.edu.tr,8,22,0,3.880179923,2.419381946,3.577819531,1,0.166666667,0,0,0,1,1
covid19.igmh.gov.mv,7,17,0,3.202819531,2,3.277613437,0,0.210526316,0,0,0,1,1
covid19.skgsh.tn.edu.tw,8,21,0,3.93213804,1,3.664497779,1,0.173913043,0,0,0,2,1
labdescovid19.com.br,6,19,0,3.725480557,3.546593564,3.546593564,0,0.2,0,0,0,0,1
corona.cast.uark.edu,5,18,0,3.337175341,2,3.039148672,1,0.3,0,0,0,2,1
coronavirus-yellowcard.mhra.gov.uk,7,32,1,4.026619294,2,3.87314068,1,0.323529412,0,0,0,1,1
cpcontacts.covid.formosadaserranegra.ma.gov.br,11,44,0,3.760382652,3.090032777,3.664976724,0,0.173913043,0,0,0,2,1
coronavirusmp.com.br,4,19,0,3.419381946,3.39274741,3.39274741,0,0.55,0,0,0,0,1
covid-19.bccdc.ca,6,15,1,2.999581231,1.370950594,2.931208949,1,0.235294118,0,0,0,1,1
covid.sd.gov,4,10,0,2.721928095,1,2.521640636,1,0.333333333,0,0,0,1,1
