Domain,Num_words,Num_chars,Hyphen,Entropy_sdsu,Entropy_nosdsu,Entropy_nosu,Tranco_Rank,Longest_word_ratio,Typos,Freenom_TLD,Other_numbers,Subdomain levels,Label
novelcoronavirus.top,3,19,0,3.511085408,3.327819531,3.327819531,0,0.55,0,0,0,0,0
rpacovid19anaes.com,7,18,0,3.683542362,3.589898095,3.589898095,0,0.210526316,0,0,0,0,0
covid-19russia.com,5,17,1,3.616874606,3.521640636,3.521640636,0,0.333333333,0,0,0,0,0
minnesotacoronavirusworkcomp.com,5,31,0,3.646798729,3.695947226,3.695947226,0,0.34375,0,0,0,0,0
covid19live.org,5,14,0,3.378783493,3.095795255,3.095795255,0,0.266666667,0,0,0,0,0
kartakoronavirus.ru,4,18,0,3.127986807,3.155639062,3.155639062,0,0.315789474,1,0,0,0,0
stars-coronavirus.com,3,20,1,3.40869497,3.292770194,3.292770194,0,0.523809524,0,0,0,0,0
coronavirus.re,2,13,0,3.180832987,3.095795255,3.095795255,0,0.785714286,0,0,0,0,0
covid19tracking.info,5,19,0,3.681880803,3.640223929,3.640223929,0,0.4,0,0,0,0,0
isurvivecorona-virus.com,5,23,1,3.435755434,3.30869497,3.30869497,0,0.291666667,1,0,0,0,0
cnr01petitieonline-covid19byfacebook.ga,11,38,1,4.155565013,4.072431251,4.072431251,0,0.205128205,0,1,1,0,0
znr02petitieonline-covid19byfacebook.ga,12,38,1,4.280693632,4.20451146,4.20451146,0,0.205128205,0,1,1,0,0
covid19-vaccine.org,5,18,1,3.572431251,3.323231429,3.323231429,0,0.368421053,0,0,0,0,0
covid-19andcancer.com,6,20,1,3.521928095,3.4548224,3.4548224,0,0.285714286,0,0,0,0,0
walkinginthetimeofcoronavirus.com,7,32,0,3.976409766,3.978333581,3.978333581,0,0.333333333,0,0,0,0,0
covid19offroad.com,6,17,0,3.263933429,3.182005815,3.182005815,0,0.222222222,0,0,0,0,0
desinfection-coronavirus-covid19.fr,7,34,1,3.844384532,3.827819531,3.827819531,0,0.314285714,0,0,0,0,0
covid19togo.com,5,14,0,3.093069208,3.027169118,3.027169118,0,0.266666667,0,0,0,0,0
covit19ayuda.com,6,15,0,3.506890596,3.418295834,3.418295834,0,0.1875,1,0,0,0,0
examencoronavirus.com,4,20,0,3.48418372,3.499227547,3.499227547,0,0.523809524,0,0,0,0,0
caronasarvirus.com,4,17,0,3.175123135,2.985228136,2.985228136,0,0.277777778,1,0,0,0,0
covid19literature.reviews,5,24,0,3.688721876,3.616874606,3.616874606,0,0.4,0,0,0,0,0
wuhancoronavirus.co,3,18,0,3.350209029,3.375,3.375,0,0.578947368,0,0,0,0,0
proteccioncoronavirus.info,4,25,0,3.41868857,3.368042423,3.368042423,0,0.423076923,0,0,0,0,0
